gameName,developer,gameType,gameDescription
['Back 4 Blood'],Turtle Rock Studios,"['Zombies', 'Action', 'Online Co-Op', 'Multiplayer', 'Shooter', 'FPS', 'Co-op', 'Gore', 'First-Person', 'Horror', 'Blood', 'Adventure', 'Violent', 'Singleplayer', 'Survival', 'PvP', 'Survival Horror', 'PvE', 'Roguelite', 'Replay Value']","Back 4 Blood is a thrilling cooperative first-person shooter from the creators of the critically acclaimed Left 4 Dead franchise. Experience the intense 4 player co-op narrative campaign, competitive multiplayer as human or Ridden, and frenetic gameplay that keeps you in the action."
['FIFA 22'],EA Canada,"['Soccer', 'Sports', 'Competitive', 'Simulation', 'Football', 'Multiplayer', 'Realistic', 'Singleplayer', 'Online Co-Op', 'Local Multiplayer', 'Local Co-Op', 'Controller', 'PvP', 'Family Friendly', 'eSports', 'Immersive Sim', 'Physics', 'Team-Based', 'Co-op', 'Cinematic']","Play FIFA 22, Get a Next Generation Player Item: receive an untradeable Next Generation Player Item in FIFA Ultimate Team starting December 15 when you play FIFA 22 by January 14, 2022*."
['FIFA 22'],EA Canada,"['Soccer', 'Sports', 'Competitive', 'Simulation', 'Football', 'Multiplayer', 'Realistic', 'Singleplayer', 'Online Co-Op', 'Local Multiplayer', 'Local Co-Op', 'Controller', 'PvP', 'Family Friendly', 'eSports', 'Immersive Sim', 'Physics', 'Team-Based', 'Co-op', 'Cinematic']","Play FIFA 22, Get a Next Generation Player Item: receive an untradeable Next Generation Player Item in FIFA Ultimate Team starting December 15 when you play FIFA 22 by January 14, 2022*."
['Battlefield™ 2042'],DICE,"['Shooter', 'Action', 'Multiplayer', 'FPS', 'First-Person', 'Military', 'War', 'Futuristic', 'PvP', 'Team-Based', 'Vehicular Combat', 'Combat', 'Modern', 'Destruction', 'Physics', 'Cinematic', 'Adventure', 'Hero Shooter', 'Casual', 'Singleplayer']","Battlefield™ 2042 is a first-person shooter that marks the return to the iconic all-out warfare of the franchise. In a near-future world transformed by disorder, adapt and overcome dynamically-changing battlegrounds with the help of your squad and a cutting-edge arsenal."
[' '], ,[], 
[' '], ,"['Action', 'Adventure', 'Shooter', 'FPS', 'Lore-Rich', 'Singleplayer', 'Atmospheric', 'Sci-fi', 'Aliens', 'Open World', 'Space', 'Story Rich']", 
['Football Manager 2022'],Sports Interactive,"['Sports', 'Management', 'Real Time Tactics', 'Soccer', 'Simulation', 'Football', 'Strategy', 'eSports', 'Character Customization', '2D', '3D', 'Multiplayer', 'Text-Based', 'Singleplayer', 'Fantasy', 'Psychological Horror']","The closest thing to real football management. FM22 brings new, progressive ways to find your winning edge, instill your footballing style and earn it on the pitch."
['Forza Horizon 5'],Playground Games,"['Racing', 'Open World', 'Adventure', 'Driving', 'Automobile Sim', 'Simulation', 'Exploration', 'Realistic', 'Multiplayer', 'Arcade', 'First-Person', 'Atmospheric', 'Sports', 'PvP', 'Co-op', 'Online Co-Op', 'Singleplayer', 'Action', 'Beautiful', 'Third Person']","Your Ultimate Horizon Adventure awaits! Explore the vibrant and ever-evolving open world landscapes of Mexico with limitless, fun driving action in hundreds of the world’s greatest cars. Begin Your Horizon Adventure today and add to your Wishlist!"
['Back 4 Blood'],Turtle Rock Studios,"['Zombies', 'Action', 'Online Co-Op', 'Multiplayer', 'Shooter', 'FPS', 'Co-op', 'Gore', 'First-Person', 'Horror', 'Blood', 'Adventure', 'Violent', 'Singleplayer', 'Survival', 'PvP', 'Survival Horror', 'PvE', 'Roguelite', 'Replay Value']","Back 4 Blood is a thrilling cooperative first-person shooter from the creators of the critically acclaimed Left 4 Dead franchise. Experience the intense 4 player co-op narrative campaign, competitive multiplayer as human or Ridden, and frenetic gameplay that keeps you in the action."
['Myth of Empires'],Angela Game,"['Early Access', 'Open World Survival Craft', 'Building', 'Sandbox', 'War', 'Survival', 'Open World', 'MMORPG', 'Base Building', 'Character Customization', 'Action-Adventure', 'Strategy', 'RPG', 'Hack and Slash', 'Third Person', '3D', 'Historical', 'Team-Based', 'Action', 'Simulation']","Myth of Empires is a multiplayer sandbox game. Featuring a high degree of freedom, players will fight to survive and earn their place in a world torn by war. Build fortresses, lead armies in massive battles, siege enemy cities, and establish your own empire!"
